16/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,12.6,7.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,16/02/2023 21:02,0
17/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,11.7,9.8,8,7.8,6,6,6,6,NA,NA,NA,NA,17/02/2023 09:04,0
17/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,14.1,9.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,17/02/2023 21:03,0
18/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,11.3,9.6,8,8.6,6,6,6,6,NA,NA,NA,NA,18/02/2023 09:04,0
18/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,13.6,10.1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,18/02/2023 21:03,0
19/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,10.6,5.7,3.3,3.5,6,6,6,6,NA,NA,NA,NA,19/02/2023 09:04,0
19/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,11.9,6.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,19/02/2023 21:03,0
20/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,10.3,7.6,6.5,6.4,6,6,6,6,NA,NA,NA,NA,20/02/2023 09:04,0
20/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,14.4,10,NA,NA,6,6,NA,NA,NA,NA,NA,NA,20/02/2023 21:02,0
21/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,10.2,8,6.3,6.5,6,6,6,6,NA,NA,NA,NA,21/02/2023 09:04,0
21/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,11.4,7.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,21/02/2023 21:03,0
22/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,7.6,5.6,4.9,5.3,6,6,6,6,NA,NA,NA,NA,22/02/2023 09:04,0
22/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,9.2,5.1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,22/02/2023 21:03,0
23/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,5.3,3.1,1.1,1.2,6,6,6,6,NA,NA,NA,NA,23/02/2023 09:04,0
23/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,8.1,2.5,NA,NA,6,6,NA,NA,NA,NA,NA,NA,23/02/2023 21:03,0
24/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,8.1,1.8,-4.6,-0.9,6,6,6,6,NA,NA,NA,NA,24/02/2023 09:04,0
24/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,10.8,4.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,24/02/2023 21:03,0
25/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,4.5,2.4,0,0.3,6,6,6,6,NA,NA,NA,NA,25/02/2023 09:04,0
25/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,6.7,2.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,25/02/2023 21:03,0
26/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,4.1,1.9,-3.2,-1.2,6,6,6,6,NA,NA,NA,NA,26/02/2023 09:03,0
26/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,8.3,1.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,26/02/2023 21:03,0
27/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,4.3,1.1,-5.8,-3,6,6,6,6,NA,NA,NA,NA,27/02/2023 09:03,0
27/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,7.7,4.3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,27/02/2023 21:02,0
28/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,5.1,3.8,1.6,2,6,6,6,6,NA,NA,NA,NA,28/02/2023 09:03,0
28/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,8.4,4.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,28/02/2023 21:02,0
01/03/2023 09:00,DCNN,4206,12,1,NCM,556,1011,4.8,3.4,1,1.6,6,6,6,6,NA,NA,NA,NA,01/03/2023 09:03,0
01/03/2023 21:00,DCNN,4206,12,1,NCM,556,1011,8,4.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,01/03/2023 21:03,0
02/03/2023 09:00,DCNN,4206,12,1,NCM,556,1011,4.6,3,2.2,2.6,6,6,6,6,NA,NA,NA,NA,02/03/2023 09:05,0
02/03/2023 21:00,DCNN,4206,12,1,NCM,556,1011,6.3,3.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,02/03/2023 21:03,0
03/03/2023 09:00,DCNN,4206,12,1,NCM,556,1011,4.4,2.7,2.2,2.8,6,6,6,6,NA,NA,NA,NA,03/03/2023 09:04,0
03/03/2023 21:00,DCNN,4206,12,1,NCM,556,1011,6.4,3.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,03/03/2023 21:03,0
04/03/2023 09:00,DCNN,4206,12,1,NCM,556,1011,5,3.1,2.5,3.1,6,6,6,6,NA,NA,NA,NA,04/03/2023 09:04,0
